orden,categoria,subcategoria,producto,variante,unidad_alquilable,publicado,precio_24h,cantidad_total,fuente_sugerida,url_producto,nota_interna
1,Sillas,,Silla ABC,,Silla ABC,si,,,sitio web,https://www.alquifiestasyeventos.com/shop/silla-abc-25,Stock desactualizado
2,Sillas,,Silla Garden,,Silla Garden,si,,,sitio web,https://www.alquifiestasyeventos.com/shop/silla-garden-10,Stock desactualizado
3,Sillas,,Silla Plastica,,Silla Plastica,si,,,sitio web,https://www.alquifiestasyeventos.com/shop/silla-plastica-8,Stock pronosticado
4,Sillas,,Silla Tiffany,,Silla Tiffany,si,,,sitio web,https://www.alquifiestasyeventos.com/shop/silla-tiffany-9,
5,Mesas,,Caballo Decorativo,,Caballo Decorativo,no,,,a mano,,
6,Mesas,,Canasta,Grande,Canasta (Grande),no,,,a mano,,
7,Mesas,,Canasta,Mediano,Canasta (Mediano),no,,,a mano,,
8,Mesas,,Canasta,Pequeno(a),Canasta (Pequeno(a)),no,,,a mano,,
9,Mesas,,Deposito,,Deposito,no,,,a mano,,
10,Mesas,,Estante Triangular,,Estante Triangular,no,,,a mano,,
11,Mesas,,Letrero Feliz Cumpleaños,,Letrero Feliz Cumpleaños,no,,,a mano,,
12,Mesas,,Letrero Nuestra Boda,,Letrero Nuestra Boda,no,,,a mano,,
13,Mesas,,Mesa Buffette de Madera,,Mesa Buffette de Madera,no,,,a mano,,
14,Mesas,,Mesa Coctelera,,Mesa Coctelera,no,,,a mano,,
15,Mesas,,Mesa Cuadrada,,Mesa Cuadrada,si,,,sitio web,https://www.alquifiestasyeventos.com/shop/mesa-cuadrada-14,
16,Mesas,,Mesa Decorativa,Grande,Mesa Decorativa (Grande),no,,,a mano,,
17,Mesas,,Mesa Decorativa,Mediano,Mesa Decorativa (Mediano),no,,,a mano,,
18,Mesas,,Mesa Rectangular,Grande,Mesa Rectangular (Grande),si,,,sitio web,https://www.alquifiestasyeventos.com/shop/mesa-rectangular-29,
19,Mesas,,Mesa Rectangular,Mediano,Mesa Rectangular (Mediano),si,,,sitio web,https://www.alquifiestasyeventos.com/shop/mesa-rectangular-29,
20,Mesas,,Mesa Redonda,,Mesa Redonda,no,,,a mano,,
21,Mesas,,Mesa para Niño,,Mesa para Niño,si,,,sitio web,https://www.alquifiestasyeventos.com/shop/mesa-para-nino-81,
