db_id,producto,variante,unidad_alquilable,precio_24h,moneda,existencias_odoo,descripcion_venta,metodo,confianza,notas
39,Anafre (Diablitos),,Anafre (Diablitos),90,NIO,12,,pagina,alta,
57,Bandeja de Barro,,Bandeja de Barro,100,NIO,1,,pagina,alta,
56,Comal,Grande,Comal (Grande),80,NIO,1,,combination_info,alta,
56,Comal,Mediano,Comal (Mediano),50,NIO,2,,combination_info,alta,
56,Comal,Pequeno(a),Comal (Pequeno(a)),40,NIO,2,,combination_info,alta,
60,Container de Barro,Grande,Container de Barro (Grande),50,NIO,1,,combination_info,alta,
60,Container de Barro,Mediano,Container de Barro (Mediano),40,NIO,4,,combination_info,alta,
60,Container de Barro,Pequeno(a),Container de Barro (Pequeno(a)),30,NIO,6,,combination_info,alta,
92,Cuchara de Madera,,Cuchara de Madera,40,NIO,3,,pagina,alta,
91,Cucharas de Jicara,,Cucharas de Jicara,5,NIO,13,,pagina,alta,
59,Cucharita de Madera,,Cucharita de Madera,10,NIO,9,,pagina,alta,
89,Gigantona y Enano Cabezon,,Gigantona y Enano Cabezon,350,NIO,1,,pagina,alta,
90,Muñeca Típica,,Muñeca Típica,100,NIO,3,,pagina,alta,
58,Olla para Fresco,,Olla para Fresco,60,NIO,1,,pagina,alta,
78,Bandeja Aluminio,Grande,Bandeja Aluminio (Grande),90,NIO,2,,combination_info,alta,
78,Bandeja Aluminio,Mediano,Bandeja Aluminio (Mediano),80,NIO,4,,combination_info,alta,
77,Bandeja Antideslizante,,Bandeja Antideslizante,100,NIO,10,,combination_info,alta,un solo precio para todo el atributo (Forma: Redonda)
47,Cafetera Electrica,,Cafetera Electrica,400,NIO,1,,pagina,alta,
70,Chafer Dish,,Chafer Dish,170,NIO,10,,pagina,alta,
51,Champañera Aluminio,,Champañera Aluminio,150,NIO,1,,pagina,alta,
69,Descorchador,,Descorchador,50,NIO,4,,pagina,alta,
75,Taza para Cafe (Escudilla),,Taza para Cafe (Escudilla),20,NIO,50,,pagina,alta,
76,Taza para Consume,,Taza para Consume,35,NIO,16,,pagina,alta,
19,Copa de Agua,,Copa de Agua,15,NIO,501,,pagina,alta,
20,Copa de Champagne,,Copa de Champagne,20,NIO,456,,pagina,alta,
18,Copa de Vino,,Copa de Vino,12,NIO,456,,pagina,alta,
21,Copas de Novios,,Copas de Novios,200,NIO,1,,pagina,alta,
74,Cuchara para Postre,,Cuchara para Postre,8,NIO,513,,pagina,alta,
54,Cucharas para Servir,,Cucharas para Servir,45,NIO,4,,combination_info,alta,"un solo precio para todo el atributo (Estilo: 1, 2, 3, 4, 5)"
93,Cuchillo,,Cuchillo,6,NIO,507,,pagina,alta,
53,Espatula y Cuchillo de Queque,,Espatula y Cuchillo de Queque,200,NIO,2,,pagina,alta,
22,Tenedor,,Tenedor,6,NIO,525,,pagina,alta,
23,Tenedor para Postre,,Tenedor para Postre,7,NIO,353,,pagina,alta,
12,Plato de Ensalada,,Plato de Ensalada,12,NIO,500,,pagina,alta,
13,Plato de Postre,,Plato de Postre,12,NIO,444,,pagina,alta,
11,Plato para Comida,Grande,Plato para Comida (Grande),20,NIO,79,,combination_info,alta,
11,Plato para Comida,Normal,Plato para Comida (Normal),15,NIO,491,,combination_info,alta,
16,Porta Platos Dorado,,Porta Platos Dorado,20,NIO,150,,pagina,alta,
17,Vaso Alto,,Vaso Alto,12,NIO,570,,pagina,alta,
55,Vasos Jaiboleros,,Vasos Jaiboleros,10,NIO,148,,pagina,alta,
64,Alfombra Roja (12.5mts),,Alfombra Roja (12.5mts),300,NIO,2,,pagina,alta,
88,Alfombra Verde (4x3),,Alfombra Verde (4x3),800,NIO,2,,pagina,alta,
66,Aro Metalico,Cuadrado,Aro Metalico (Cuadrado),400,NIO,,,pagina,revisar,la tienda solo publica Forma: Redonda — este variante no tiene precio en línea; precio del variante por defecto copiado a los demás variantes
66,Aro Metalico,Ovalado,Aro Metalico (Ovalado),400,NIO,,,pagina,revisar,la tienda solo publica Forma: Redonda — este variante no tiene precio en línea; precio del variante por defecto copiado a los demás variantes
