db_id,producto,variante,unidad_alquilable,categoria_principal,subcategoria,categoria_sitio_original,recurrencia,publicado,precio_24h,cantidad_total,nota_interna,url_producto,url_imagen
39,Anafre (Diablitos),,Anafre (Diablitos),Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/anafre-diablitos-39,https://www.alquifiestasyeventos.com/web/image/product.template/39/image_1920
57,Bandeja de Barro,,Bandeja de Barro,Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/bandeja-de-barro-57,https://www.alquifiestasyeventos.com/web/image/product.template/57/image_1920
56,Comal,Grande,Comal (Grande),Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/comal-56,https://www.alquifiestasyeventos.com/web/image/product.template/56/image_1920
56,Comal,Mediano,Comal (Mediano),Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/comal-56,https://www.alquifiestasyeventos.com/web/image/product.template/56/image_1920
56,Comal,Pequeno(a),Comal (Pequeno(a)),Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/comal-56,https://www.alquifiestasyeventos.com/web/image/product.template/56/image_1920
60,Container de Barro,Grande,Container de Barro (Grande),Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/container-de-barro-60,https://www.alquifiestasyeventos.com/web/image/product.template/60/image_1920
60,Container de Barro,Mediano,Container de Barro (Mediano),Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/container-de-barro-60,https://www.alquifiestasyeventos.com/web/image/product.template/60/image_1920
60,Container de Barro,Pequeno(a),Container de Barro (Pequeno(a)),Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/container-de-barro-60,https://www.alquifiestasyeventos.com/web/image/product.template/60/image_1920
92,Cuchara de Madera,,Cuchara de Madera,Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/cuchara-de-madera-92,https://www.alquifiestasyeventos.com/web/image/product.template/92/image_1920
91,Cucharas de Jicara,,Cucharas de Jicara,Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/cucharas-de-jicara-91,https://www.alquifiestasyeventos.com/web/image/product.template/91/image_1920
59,Cucharita de Madera,,Cucharita de Madera,Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/cucharita-de-madera-59,https://www.alquifiestasyeventos.com/web/image/product.template/59/image_1920
89,Gigantona y Enano Cabezon,,Gigantona y Enano Cabezon,Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/gigantona-y-enano-cabezon-89,https://www.alquifiestasyeventos.com/web/image/product.template/89/image_1920
90,Muñeca Típica,,Muñeca Típica,Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/muneca-tipica-90,https://www.alquifiestasyeventos.com/web/image/product.template/90/image_1920
58,Olla para Fresco,,Olla para Fresco,Caballo Bayo,,Caballo Bayo,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/olla-para-fresco-58,https://www.alquifiestasyeventos.com/web/image/product.template/58/image_1920
121,Plato de Barro,,Plato de Barro,Caballo Bayo,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/121/image_1920
78,Bandeja Aluminio,Grande,Bandeja Aluminio (Grande),Cristalería,,Cristalería,Diariamente,si,,,Stock aproximado,https://www.alquifiestasyeventos.com/shop/bandeja-aluminio-78,https://www.alquifiestasyeventos.com/web/image/product.template/78/image_1920
78,Bandeja Aluminio,Mediano,Bandeja Aluminio (Mediano),Cristalería,,Cristalería,Diariamente,si,,,Stock aproximado,https://www.alquifiestasyeventos.com/shop/bandeja-aluminio-78,https://www.alquifiestasyeventos.com/web/image/product.template/78/image_1920
77,Bandeja Antideslizante,,Bandeja Antideslizante,Cristalería,,Cristalería,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/bandeja-antideslizante-77,https://www.alquifiestasyeventos.com/web/image/product.template/77/image_1920
126,Base de Dispensador de Jugo,,Base de Dispensador de Jugo,Cristalería,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/126/image_1920
47,Cafetera Electrica,,Cafetera Electrica,Cristalería,,Cristalería,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/cafetera-electrica-47,https://www.alquifiestasyeventos.com/web/image/product.template/47/image_1920
70,Chafer Dish,,Chafer Dish,Cristalería,,Cristalería,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/chafer-dish-70,https://www.alquifiestasyeventos.com/web/image/product.template/70/image_1920
51,Champañera Aluminio,,Champañera Aluminio,Cristalería,,Cristalería,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/champanera-aluminio-51,https://www.alquifiestasyeventos.com/web/image/product.template/51/image_1920
69,Descorchador,,Descorchador,Cristalería,,Cristalería,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/descorchador-69,https://www.alquifiestasyeventos.com/web/image/product.template/69/image_1920
79,Dispensador Plastico,,Dispensador Plastico,Cristalería,,Cristalería,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/79/image_1920
49,Dispensador Vidrio Grande,,Dispensador Vidrio Grande,Cristalería,,Cristalería,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/49/image_1920
50,Dispensador Vidrio Pequeno Cuadrado,,Dispensador Vidrio Pequeno Cuadrado,Cristalería,,Cristalería,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/50/image_1920
48,Dispensador de Lujo,,Dispensador de Lujo,Cristalería,,Cristalería,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/48/image_1920
44,Ensaladera Plastica,,Ensaladera Plastica,Cristalería,,Cristalería,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/44/image_1920
45,Ensaladera Vidrio,,Ensaladera Vidrio,Cristalería,,Cristalería,Diariamente,no,,,Stock pronosticado Puede ser que hayan distintas variantes,,https://www.alquifiestasyeventos.com/web/image/product.template/45/image_1920
40,Hielera de Aluminio,,Hielera de Aluminio,Cristalería,,Cristalería,Diariamente,no,,,Stock pronosticado,,https://www.alquifiestasyeventos.com/web/image/product.template/40/image_1920
46,Pichel de Vidrio,,Pichel de Vidrio,Cristalería,,Cristalería,Diariamente,no,,,Stock pronosticado,,https://www.alquifiestasyeventos.com/web/image/product.template/46/image_1920
41,Pinzas para Hieleras,,Pinzas para Hieleras,Cristalería,,Cristalería,Diariamente,no,,,Stock pronosticado,,https://www.alquifiestasyeventos.com/web/image/product.template/41/image_1920
75,Taza para Cafe (Escudilla),,Taza para Cafe (Escudilla),Cristalería,,Cristalería,Diariamente,si,,,Stock aproximado,https://www.alquifiestasyeventos.com/shop/taza-para-cafe-escudilla-75,https://www.alquifiestasyeventos.com/web/image/product.template/75/image_1920
76,Taza para Consume,,Taza para Consume,Cristalería,,Cristalería,Diariamente,si,,,Stock aproximado,https://www.alquifiestasyeventos.com/shop/taza-para-consume-76,https://www.alquifiestasyeventos.com/web/image/product.template/76/image_1920
19,Copa de Agua,,Copa de Agua,Cristalería,Copas,Cristalería / Copas,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/copa-de-agua-19,https://www.alquifiestasyeventos.com/web/image/product.template/19/image_1920
20,Copa de Champagne,,Copa de Champagne,Cristalería,Copas,Cristalería / Copas,Diariamente,si,,,Stock aproximado,https://www.alquifiestasyeventos.com/shop/copa-de-champagne-20,https://www.alquifiestasyeventos.com/web/image/product.template/20/image_1920
18,Copa de Vino,,Copa de Vino,Cristalería,Copas,Cristalería / Copas,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/copa-de-vino-18,https://www.alquifiestasyeventos.com/web/image/product.template/18/image_1920
21,Copas de Novios,,Copas de Novios,Cristalería,Copas,Cristalería / Copas,Diariamente,si,,,No las encontre. Solo encontre una caja con una copa decorada,https://www.alquifiestasyeventos.com/shop/copas-de-novios-21,https://www.alquifiestasyeventos.com/web/image/product.template/21/image_1920
74,Cuchara para Postre,,Cuchara para Postre,Cristalería,Cubiertos,Cristalería / Cubiertos,Diariamente,si,,,Stock desactualizado Se presume hay 3 marcas o variaciones,https://www.alquifiestasyeventos.com/shop/cuchara-para-postre-74,https://www.alquifiestasyeventos.com/web/image/product.template/74/image_1920
54,Cucharas para Servir,,Cucharas para Servir,Cristalería,Cubiertos,,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/cucharas-para-servir-54,https://www.alquifiestasyeventos.com/web/image/product.template/54/image_1920
93,Cuchillo,,Cuchillo,Cristalería,Cubiertos,Cristalería / Cubiertos,Diariamente,si,,,Stock desactualizado,https://www.alquifiestasyeventos.com/shop/cuchillo-93,https://www.alquifiestasyeventos.com/web/image/product.template/93/image_1920
53,Espatula y Cuchillo de Queque,,Espatula y Cuchillo de Queque,Cristalería,Cubiertos,Cristalería / Cubiertos,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/espatula-y-cuchillo-de-queque-53,https://www.alquifiestasyeventos.com/web/image/product.template/53/image_1920
22,Tenedor,,Tenedor,Cristalería,Cubiertos,Cristalería / Cubiertos,Diariamente,si,,,Stock desactualizado,https://www.alquifiestasyeventos.com/shop/tenedor-22,https://www.alquifiestasyeventos.com/web/image/product.template/22/image_1920
23,Tenedor para Postre,,Tenedor para Postre,Cristalería,Cubiertos,Cristalería / Cubiertos,Diariamente,si,,,Stock desactualizado,https://www.alquifiestasyeventos.com/shop/tenedor-para-postre-23,https://www.alquifiestasyeventos.com/web/image/product.template/23/image_1920
141,Base de Platos,,Base de Platos,Cristalería,Platos,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/141/image_1920
12,Plato de Ensalada,,Plato de Ensalada,Cristalería,Platos,Cristalería / Platos,Diariamente,si,,,Stock desactualizado,https://www.alquifiestasyeventos.com/shop/plato-de-ensalada-12,https://www.alquifiestasyeventos.com/web/image/product.template/12/image_1920
13,Plato de Postre,,Plato de Postre,Cristalería,Platos,Cristalería / Platos,Diariamente,si,,,Stock desaactualizado Se presume hay dos marcas,https://www.alquifiestasyeventos.com/shop/plato-de-postre-13,https://www.alquifiestasyeventos.com/web/image/product.template/13/image_1920
11,Plato para Comida,Grande,Plato para Comida (Grande),Cristalería,Platos,Cristalería / Platos,Diariamente,si,,,Stock desactualizado,https://www.alquifiestasyeventos.com/shop/plato-para-comida-11,https://www.alquifiestasyeventos.com/web/image/product.template/11/image_1920
11,Plato para Comida,Normal,Plato para Comida (Normal),Cristalería,Platos,Cristalería / Platos,Diariamente,si,,,Stock desactualizado,https://www.alquifiestasyeventos.com/shop/plato-para-comida-11,https://www.alquifiestasyeventos.com/web/image/product.template/11/image_1920
16,Porta Platos Dorado,,Porta Platos Dorado,Cristalería,Platos,Cristalería / Platos,Diariamente,si,,,Stock aproximado,https://www.alquifiestasyeventos.com/shop/porta-platos-dorado-16,https://www.alquifiestasyeventos.com/web/image/product.template/16/image_1920
17,Vaso Alto,,Vaso Alto,Cristalería,Vasos,Cristalería / Vasos,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/vaso-alto-17,https://www.alquifiestasyeventos.com/web/image/product.template/17/image_1920
55,Vasos Jaiboleros,,Vasos Jaiboleros,Cristalería,Vasos,Cristalería / Vasos,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/vasos-jaiboleros-55,https://www.alquifiestasyeventos.com/web/image/product.template/55/image_1920
64,Alfombra Roja (12.5mts),,Alfombra Roja (12.5mts),Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/alfombra-roja-12-5mts-64,https://www.alquifiestasyeventos.com/web/image/product.template/64/image_1920
88,Alfombra Verde (4x3),,Alfombra Verde (4x3),Decoración,,Decoración,Diariamente,si,,,La que esta mala mide 2.5mts x 3mts,https://www.alquifiestasyeventos.com/shop/alfombra-verde-4x3-88,https://www.alquifiestasyeventos.com/web/image/product.template/88/image_1920
66,Aro Metalico,Cuadrado,Aro Metalico (Cuadrado),Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/aro-metalico-66,https://www.alquifiestasyeventos.com/web/image/product.template/66/image_1920
66,Aro Metalico,Ovalado,Aro Metalico (Ovalado),Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/aro-metalico-66,https://www.alquifiestasyeventos.com/web/image/product.template/66/image_1920
66,Aro Metalico,Redonda,Aro Metalico (Redonda),Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/aro-metalico-66,https://www.alquifiestasyeventos.com/web/image/product.template/66/image_1920
127,Base Rustica,,Base Rustica,Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/127/image_1920
142,Base para Queque Grande,,Base para Queque Grande,Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/142/image_1920
86,Base(s) para queque,Grande,Base(s) para queque (Grande),Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/base-s-para-queque-86,https://www.alquifiestasyeventos.com/web/image/product.template/86/image_1920
86,Base(s) para queque,Mediano,Base(s) para queque (Mediano),Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/base-s-para-queque-86,https://www.alquifiestasyeventos.com/web/image/product.template/86/image_1920
86,Base(s) para queque,Pequeno(a),Base(s) para queque (Pequeno(a)),Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/base-s-para-queque-86,https://www.alquifiestasyeventos.com/web/image/product.template/86/image_1920
61,Carrillo,,Carrillo,Decoración,,Decoración,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/61/image_1920
95,Cilindros,Grande,Cilindros (Grande),Decoración,,Decoración,Diariamente,si,,,Los 3 valen 500,https://www.alquifiestasyeventos.com/shop/cilindros-95,https://www.alquifiestasyeventos.com/web/image/product.template/95/image_1920
95,Cilindros,Mediano,Cilindros (Mediano),Decoración,,Decoración,Diariamente,si,,,Los 3 valen 500,https://www.alquifiestasyeventos.com/shop/cilindros-95,https://www.alquifiestasyeventos.com/web/image/product.template/95/image_1920
95,Cilindros,Pequeno(a),Cilindros (Pequeno(a)),Decoración,,Decoración,Diariamente,si,,,Los 3 valen 500,https://www.alquifiestasyeventos.com/shop/cilindros-95,https://www.alquifiestasyeventos.com/web/image/product.template/95/image_1920
143,Cofre,Madera,Cofre (Madera),Decoración,,Cristalería,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/cofre-143,https://www.alquifiestasyeventos.com/web/image/product.template/143/image_1920
143,Cofre,Metalico,Cofre (Metalico),Decoración,,Cristalería,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/cofre-143,https://www.alquifiestasyeventos.com/web/image/product.template/143/image_1920
84,Cofre Madera,,Cofre Madera,Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/cofre-madera-84,https://www.alquifiestasyeventos.com/web/image/product.template/84/image_1920
128,Cortina Luces,,Cortina Luces,Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/128/image_1920
102,Cortinas,(Blanco,Cortinas ((Blanco),Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/102/image_1920
102,Cortinas,(Rojo,Cortinas ((Rojo),Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/102/image_1920
102,Cortinas,Grande),Cortinas (Grande)),Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/102/image_1920
102,Cortinas,Normal),Cortinas (Normal)),Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/102/image_1920
97,Cubiculos de Hierro y Madera,,Cubiculos de Hierro y Madera,Decoración,,Decoración,Diariamente,si,,,100 Pequeno150 Mediano200 Grande,https://www.alquifiestasyeventos.com/shop/cubiculos-de-hierro-y-madera-97,https://www.alquifiestasyeventos.com/web/image/product.template/97/image_1920
129,Farolito de Luces,,Farolito de Luces,Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/129/image_1920
63,Floreros,,Floreros,Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/floreros-63,https://www.alquifiestasyeventos.com/web/image/product.template/63/image_1920
134,Letrero Happy Birthday,,Letrero Happy Birthday,Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/134/image_1920
68,Letrero Mr. y Ms.,,Letrero Mr. y Ms.,Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/letrero-mr-y-ms-68,https://www.alquifiestasyeventos.com/web/image/product.template/68/image_1920
130,Marco Metalico,,Marco Metalico,Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/130/image_1920
65,Marco de Madera,,Marco de Madera,Decoración,,Decoración,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/65/image_1920
132,Numero 15,,Numero 15,Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/132/image_1920
85,Porta Cupcakes,,Porta Cupcakes,Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/porta-cupcakes-85,https://www.alquifiestasyeventos.com/web/image/product.template/85/image_1920
62,Pozo,,Pozo,Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/pozo-62,https://www.alquifiestasyeventos.com/web/image/product.template/62/image_1920
115,Respaldo de Madera,Cesped Artificial,Respaldo de Madera (Cesped Artificial),Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/115/image_1920
115,Respaldo de Madera,Madera,Respaldo de Madera (Madera),Decoración,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/115/image_1920
96,Silla Trono,,Silla Trono,Decoración,,Decoración,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/silla-trono-96,https://www.alquifiestasyeventos.com/web/image/product.template/96/image_1920
105,Toldo,4x4,Toldo (4x4),Decoración,,Decoración,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/105/image_1920
105,Toldo,6x4,Toldo (6x4),Decoración,,Decoración,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/105/image_1920
83,Lazo Azul de Organza,,Lazo Azul de Organza,Mantelería,Lazos,Mantelería / Lazos,Diariamente,no,,,Stock aproximado,,https://www.alquifiestasyeventos.com/web/image/product.template/83/image_1920
32,Lazos Satin,,Lazos Satin,Mantelería,Lazos,Mantelería / Lazos,Diariamente,no,,,Stock aproximado,,https://www.alquifiestasyeventos.com/web/image/product.template/32/image_1920
104,Bambalina,,Bambalina,Mantelería,Manteles,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/104/image_1920
36,Bambalina Mesa Buffete Grande,,Bambalina Mesa Buffete Grande,Mantelería,Manteles,Mantelería,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/36/image_1920
7,Mantel Cuadrado,,Mantel Cuadrado,Mantelería,Manteles,Mantelería / Manteles,Diariamente,si,,,Stock aproximado,https://www.alquifiestasyeventos.com/shop/mantel-cuadrado-7,https://www.alquifiestasyeventos.com/web/image/product.template/7/image_1920
33,Mantel Rectangular,Grande,Mantel Rectangular (Grande),Mantelería,Manteles,Mantelería / Manteles,Diariamente,si,,,4 y 6 varas,https://www.alquifiestasyeventos.com/shop/mantel-rectangular-33,https://www.alquifiestasyeventos.com/web/image/product.template/33/image_1920
33,Mantel Rectangular,Mediano,Mantel Rectangular (Mediano),Mantelería,Manteles,Mantelería / Manteles,Diariamente,si,,,4 y 6 varas,https://www.alquifiestasyeventos.com/shop/mantel-rectangular-33,https://www.alquifiestasyeventos.com/web/image/product.template/33/image_1920
35,Mantel Redondo 10 personas,Blanco Liso,Mantel Redondo 10 personas (Blanco Liso),Mantelería,Manteles,Mantelería / Manteles,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/mantel-redondo-10-personas-35,https://www.alquifiestasyeventos.com/web/image/product.template/35/image_1920
38,Camino de Mesa,Satin Dorado,Camino de Mesa (Satin Dorado),Mantelería,Otros,"Mantelería,Caballo Bayo,Mantelería / Otros",Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/camino-de-mesa-38,https://www.alquifiestasyeventos.com/web/image/product.template/38/image_1920
38,Camino de Mesa,Yacar Brocado Azul,Camino de Mesa (Yacar Brocado Azul),Mantelería,Otros,"Mantelería,Caballo Bayo,Mantelería / Otros",Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/camino-de-mesa-38,https://www.alquifiestasyeventos.com/web/image/product.template/38/image_1920
38,Camino de Mesa,Yacar Brocado Rojo,Camino de Mesa (Yacar Brocado Rojo),Mantelería,Otros,"Mantelería,Caballo Bayo,Mantelería / Otros",Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/camino-de-mesa-38,https://www.alquifiestasyeventos.com/web/image/product.template/38/image_1920
38,Camino de Mesa,Yute,Camino de Mesa (Yute),Mantelería,Otros,"Mantelería,Caballo Bayo,Mantelería / Otros",Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/camino-de-mesa-38,https://www.alquifiestasyeventos.com/web/image/product.template/38/image_1920
73,Servilleta de Tela,Blanco,Servilleta de Tela (Blanco),Mantelería,Otros,"Mantelería,Mantelería / Otros",Diariamente,no,,,Stock desactualizado,,https://www.alquifiestasyeventos.com/web/image/product.template/73/image_1920
73,Servilleta de Tela,Rojo,Servilleta de Tela (Rojo),Mantelería,Otros,"Mantelería,Mantelería / Otros",Diariamente,no,,,Stock desactualizado,,https://www.alquifiestasyeventos.com/web/image/product.template/73/image_1920
73,Servilleta de Tela,Rosado,Servilleta de Tela (Rosado),Mantelería,Otros,"Mantelería,Mantelería / Otros",Diariamente,no,,,Stock desactualizado,,https://www.alquifiestasyeventos.com/web/image/product.template/73/image_1920
103,Servilleta de Tela Celeste,,Servilleta de Tela Celeste,Mantelería,Otros,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/103/image_1920
37,Vestido Chafer Dish,,Vestido Chafer Dish,Mantelería,Otros,"Mantelería,Mantelería / Otros",Diariamente,si,,,Stock pronosticado,https://www.alquifiestasyeventos.com/shop/vestido-chafer-dish-37,https://www.alquifiestasyeventos.com/web/image/product.template/37/image_1920
100,Vestido para Silla,,Vestido para Silla,Mantelería,Otros,"Mantelería,Mantelería / Otros",Diariamente,si,,,Stock pronosticado,https://www.alquifiestasyeventos.com/shop/vestido-para-silla-100,https://www.alquifiestasyeventos.com/web/image/product.template/100/image_1920
145,Caballo Decorativo,,Caballo Decorativo,Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/145/image_1920
140,Canasta,Grande,Canasta (Grande),Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/140/image_1920
140,Canasta,Mediano,Canasta (Mediano),Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/140/image_1920
140,Canasta,Pequeno(a),Canasta (Pequeno(a)),Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/140/image_1920
133,Deposito,,Deposito,Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/133/image_1920
148,Estante Triangular,,Estante Triangular,Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/148/image_1920
118,Letrero Feliz Cumpleaños,,Letrero Feliz Cumpleaños,Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/118/image_1920
146,Letrero Nuestra Boda,,Letrero Nuestra Boda,Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/146/image_1920
27,Mesa Buffette de Madera,,Mesa Buffette de Madera,Mesas,,Mesas,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/27/image_1920
26,Mesa Coctelera,,Mesa Coctelera,Mesas,,Mesas,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/26/image_1920
14,Mesa Cuadrada,,Mesa Cuadrada,Mesas,,Mesas,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/mesa-cuadrada-14,https://www.alquifiestasyeventos.com/web/image/product.template/14/image_1920
31,Mesa Decorativa,Grande,Mesa Decorativa (Grande),Mesas,,Mesas,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/31/image_1920
31,Mesa Decorativa,Mediano,Mesa Decorativa (Mediano),Mesas,,Mesas,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/31/image_1920
29,Mesa Rectangular,Grande,Mesa Rectangular (Grande),Mesas,,Mesas,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/mesa-rectangular-29,https://www.alquifiestasyeventos.com/web/image/product.template/29/image_1920
29,Mesa Rectangular,Mediano,Mesa Rectangular (Mediano),Mesas,,Mesas,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/mesa-rectangular-29,https://www.alquifiestasyeventos.com/web/image/product.template/29/image_1920
24,Mesa Redonda,,Mesa Redonda,Mesas,,Mesas,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/24/image_1920
81,Mesa para Niño,,Mesa para Niño,Mesas,,Mesas,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/mesa-para-nino-81,https://www.alquifiestasyeventos.com/web/image/product.template/81/image_1920
15,Mesas Redonda para 10 personas,Madera,Mesas Redonda para 10 personas (Madera),Mesas,,Mesas,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/mesas-redonda-para-10-personas-15,https://www.alquifiestasyeventos.com/web/image/product.template/15/image_1920
15,Mesas Redonda para 10 personas,Plastico,Mesas Redonda para 10 personas (Plastico),Mesas,,Mesas,Diariamente,si,,,,https://www.alquifiestasyeventos.com/shop/mesas-redonda-para-10-personas-15,https://www.alquifiestasyeventos.com/web/image/product.template/15/image_1920
147,Transporte,,Transporte,Mesas,,,Diariamente,no,,,,,https://www.alquifiestasyeventos.com/web/image/product.template/147/image_1920
25,Silla ABC,,Silla ABC,Sillas,,Sillas,Diariamente,si,,,Stock desactualizado,https://www.alquifiestasyeventos.com/shop/silla-abc-25,https://www.alquifiestasyeventos.com/web/image/product.template/25/image_1920
